symbol,date,open,high,low,close,volume,adjclose,dividends,splits,rolling_30day_high,sma25,sma50,sma100,pc_sma25_by_close,pc_sma50_by_close,pc_sma25_by_sma100,mean_of_sma50_by_close_last_5_days
rcl,2023-04-05,63.310001373291016,63.970001220703125,62.040000915527344,62.3849983215332,476715,62.3849983215332,0.0,0.0,75.83000183105469,65.33460021972657,67.84270011901856,62.40835010528564,-4.514609239627347,-8.044641188972049,8.707729021140487,-5.5189770441128045
gww,2023-04-05,650.5700073242188,653.1699829101562,647.3956909179688,647.844970703125,31828,647.844970703125,0.0,0.0,709.2100219726562,677.675,661.4546594238282,618.4895092773437,-4.401819352473525,-2.057539171703488,6.946787213365326,1.7854272417073247
odfl,2023-04-05,326.2300109863281,326.7909851074219,322.6300048828125,322.760009765625,103604,322.760009765625,0.0,0.0,358.5199890136719,336.96599853515625,342.5422741699219,320.64942962646484,-4.2158522911174705,-5.775130807499593,6.827657410450019,-2.962562661299791
mpwr,2023-04-05,478.739990234375,479.239990234375,471.54998779296875,471.54998779296875,81265,471.54998779296875,0.0,0.0,517.8300170898438,490.4869128417969,481.85408386230466,428.6487240600586,-3.8608420638811425,-2.138426634624192,12.412345311167044,2.1142791574306585
on,2023-04-05,77.45999908447266,77.87000274658203,76.29630279541016,76.29630279541016,741571,76.29630279541016,0.0,0.0,84.97000122070312,79.2598519897461,79.47792572021484,73.68776294708252,-3.7390294328575533,-4.003152945894578,7.8576992183768954,1.1796105626544926
bwa,2023-04-05,47.150001525878906,47.11000061035156,46.31999969482422,46.400001525878906,235223,46.400001525878906,0.0,0.0,51.13999938964844,47.93080001831055,48.09520637512207,44.91164485931397,-3.193767873365031,-3.524685674537474,7.088499042465777,0.003548070479821419
ter,2023-04-05,102.0999984741211,102.25499725341797,100.80000305175781,101.11499786376953,173388,101.11499786376953,0.0,0.0,108.91000366210938,104.39339996337891,104.5973942565918,98.3747787475586,-3.1404304302373904,-3.3293337922735144,6.3254175391857075,0.694715128419692
mchp,2023-04-05,80.98999786376953,80.98999786376953,78.98999786376953,79.06999969482422,674490,79.06999969482422,0.0,0.0,85.77999877929688,81.52840026855469,81.57521728515626,77.58417411804199,-3.0153916495754807,-3.0710523044943168,5.144145971112637,0.8309637089554041
bio,2023-04-05,459.989990234375,468.8299865722656,459.989990234375,464.04998779296875,6424,464.04998779296875,0.0,0.0,509.6199951171875,477.6159985351562,474.8601995849609,448.4733999633789,-2.840359364802331,-2.2765040745551124,5.883693352545929,-1.3126475242312368
fslr,2023-04-05,207.52999877929688,209.02499389648438,202.89239501953125,203.07000732421875,246547,203.07000732421875,0.0,0.0,219.5500030517578,208.59,188.9331997680664,175.09630035400392,-2.6463361981788456,7.482436953117098,7.9024510432759,12.066051602861469
aos,2023-04-05,65.45999908447266,66.22000122070312,65.37999725341797,65.37999725341797,82962,65.37999725341797,0.0,0.0,69.5,67.08159973144531,66.45733375549317,62.797470054626466,-2.536615830331329,-1.6210949810879955,5.8280432279884,1.8840306922322339
axp,2023-04-05,160.55999755859375,161.60000610351562,160.19000244140625,161.07000732421875,304074,161.07000732421875,0.0,0.0,180.52000427246094,165.1735998535156,169.98640014648439,160.73733276367187,-2.48441187510361,-5.245356578280385,5.754150093065926,-3.9302259604451812
amat,2023-04-05,119.58999633789062,118.86000061035156,115.91999816894531,116.58999633789062,1102895,116.58999633789062,0.0,0.0,125.62000274658203,119.48760009765626,117.37329208374024,111.2722021484375,-2.425024653099938,-0.6673543290331925,5.483031536631102,3.1887362707657902
swks,2023-04-05,113.0,113.19999694824219,112.19999694824219,112.36000061035156,243348,112.36000061035156,0.0,0.0,118.41999816894531,114.210400390625,114.12894500732422,104.2430110168457,-1.6201674925791831,-1.5499524654846628,9.483546085291945,1.7937231872549773
tpr,2023-04-05,41.7400016784668,41.9900016784668,40.97999954223633,41.125,404490,41.125,0.0,0.0,44.5099983215332,41.75673202514648,42.89435569763184,40.40497478485108,-1.5128866520637816,-4.124914965745766,6.161075278567174,-1.5836078954837842
lrcx,2023-04-05,499.8999938964844,499.8999938964844,490.1098937988281,492.67999267578125,291647,492.67999267578125,0.0,0.0,533.0900268554688,500.2278723144531,500.4826348876953,475.3320562744141,-1.5088882600142535,-1.559023564057309,5.2911597863623925,3.3136865734603496
pnr,2023-04-05,53.38999938964844,53.59000015258789,52.810001373291016,52.82500076293945,112733,52.82500076293945,0.0,0.0,56.84000015258789,53.4413996887207,54.513099899291994,50.265559883117675,-1.153410893748249,-3.0966852728447862,8.450199353296988,-0.3657300340674805
fico,2023-04-05,687.530029296875,693.4099731445312,682.8300170898438,684.8800048828125,5424,684.8800048828125,0.0,0.0,711.8499755859375,689.0432006835938,681.6593994140625,644.0411004638672,-0.6041995330120122,0.4724654969209513,5.8409779939666695,1.8828794581662511
fisv,2023-04-05,111.29000091552734,112.44999694824219,111.0999984741211,111.87000274658203,241029,111.87000274658203,0.0,0.0,119.4800033569336,112.50679931640624,112.38739944458008,106.90689971923828,-0.5660071868486197,-0.46036895644443493,5.126422840560182,0.35229126269851474
tdg,2023-04-05,728.8699951171875,733.4600219726562,723.780029296875,723.780029296875,16998,723.780029296875,0.0,0.0,772.010009765625,727.3111987304687,730.8547973632812,681.9171008300781,-0.48551011448159115,-0.9680128107429855,7.176487651304347,0.898173108794496
algn,2023-04-05,324.44000244140625,324.44000244140625,318.2300109863281,318.3999938964844,94946,318.3999938964844,0.0,0.0,357.0,319.88720336914065,314.82400299072265,262.15610168457033,-0.4649168384957487,1.1358698421311626,20.09028245679478,3.824670416964575
