symbol,date,open,high,low,close,volume,adjclose,dividends,splits,rolling_30day_high,sma25,sma50,sma100,pc_sma25_by_close,pc_sma50_by_close,pc_sma25_by_sma100,mean_of_sma50_by_close_last_5_days
a,2023-03-31,135.39999389648438,138.72999572753906,134.86000061035156,138.33999633789062,2579800,138.33999633789062,0.0,0.0,148.94000244140625,137.04959899902343,144.51679931640626,147.57082489013672,0.9415549905230947,-4.2741072371746185,-2.0695320880696517,-7.41406008830082
aal,2023-03-31,14.609999656677246,14.760000228881836,14.5600004196167,14.75,12325700,14.75,0.0,0.0,16.799999237060547,14.919600105285644,15.660200080871583,14.867900037765503,-1.1367603963162463,-5.812186793088054,5.328930387570418,-9.17888358246842
aap,2023-03-31,119.9000015258789,121.73999786376953,119.6500015258789,121.61000061035156,1028700,121.61000061035156,0.0,0.0,151.3000030517578,125.30200103759766,137.30540084838867,144.5768137359619,-2.9464816177502957,-11.43101446924715,-5.029446077607498,-14.971562893872985
aapl,2023-03-31,162.44000244140625,165.0,161.91000366210938,164.89999389648438,68694700,164.89999389648438,0.0,0.0,165.0,154.38079956054688,151.39570739746094,145.19384422302247,6.813797030382627,8.919860893790386,4.271436718014166,6.9767562564110905
abbv,2023-03-31,158.42999267578125,159.57000732421875,157.72999572753906,159.3699951171875,4956800,159.3699951171875,0.0,0.0,159.6999969482422,154.76400024414062,151.75259979248048,154.58768157958986,2.9761410055186692,5.0196143823062656,-1.833963585028426,4.489682863686451
abc,2023-03-31,160.32000732421875,161.0,158.91000366210938,160.11000061035156,1310300,160.11000061035156,0.0,0.0,163.58999633789062,154.24039978027344,157.1288720703125,160.72061599731444,3.8054885998997645,1.8972506457661464,-2.234774863644101,0.8640844350310793
abt,2023-03-31,99.91999816894531,101.41000366210938,99.7300033569336,101.26000213623047,6442400,101.26000213623047,0.0,0.0,106.95999908447266,99.18400085449218,104.03200042724609,105.5253517150879,2.093080803207245,-2.664563095616136,-1.4151587875051703,-5.378670443843845
acgl,2023-03-31,67.9000015258789,68.87999725341797,67.01000213623047,67.87000274658203,2787600,67.87000274658203,0.0,0.0,72.27999877929688,67.67560012817383,66.3147999572754,63.41839988708496,0.28725658588917874,2.345182056356354,4.567128901623841,1.8062632734945911
acn,2023-03-31,283.1199951171875,285.9599914550781,282.6099853515625,285.80999755859375,3009300,285.80999755859375,0.0,0.0,285.9599914550781,263.8960009765625,271.975400390625,275.8417712402344,8.30402753392898,5.086708999453184,-1.4016625662695976,2.8309153130914027
adbe,2023-03-31,382.2900085449219,385.7300109863281,380.260009765625,385.3699951171875,3062300,385.3699951171875,0.0,0.0,385.7300109863281,351.63639770507814,359.11140014648436,346.7351998901367,9.59331787956779,7.312102862786326,3.5693521339249856,5.88485223974085
adi,2023-03-31,193.52000427246094,197.55999755859375,193.25,197.22000122070312,3873000,197.22000122070312,0.0,0.0,197.55999755859375,186.22640075683594,182.03957275390624,172.97789337158204,5.903352274000083,8.339081572839573,5.238634374427474,4.913522913119779
adm,2023-03-31,79.95999908447266,80.44999694824219,79.1500015258789,79.66000366210938,3415300,79.66000366210938,0.0,0.0,83.0,78.35240051269531,80.38722030639649,86.04518592834472,1.6688743942212654,-0.9046421079312351,-6.575574869069355,-2.1717592182121503
adp,2023-03-31,220.9199981689453,222.77000427246094,219.80999755859375,222.6300048828125,1782800,222.6300048828125,0.0,0.0,228.94000244140625,217.3801104736328,221.50336151123048,234.63760833740236,2.415075784873371,0.5086348865748016,-5.5976733309032,-1.776549790908249
adsk,2023-03-31,202.77999877929688,208.3800048828125,202.00999450683594,208.16000366210938,1871100,208.16000366210938,0.0,0.0,221.5500030517578,200.720400390625,208.83899993896483,203.76059967041016,3.7064509920297333,-0.3251290597320905,2.4923367308346966,-3.6618242563390857
aee,2023-03-31,86.73999786376953,86.9800033569336,85.7699966430664,86.38999938964844,1251700,86.38999938964844,0.0,0.0,87.58000183105469,83.47707672119141,84.42170440673829,85.49946044921874,3.489488112031068,2.3315034880450107,-1.2605413377088825,1.2339642158100912
aep,2023-03-31,90.8499984741211,91.13999938964844,90.30999755859375,90.98999786376953,2209800,90.98999786376953,0.0,0.0,93.13999938964844,89.24039978027344,90.3151693725586,91.88540016174316,1.9605448740748963,0.7471928535362647,-1.708901290542929,-0.6378507779413981
aes,2023-03-31,23.739999771118164,24.139999389648438,23.709999084472656,24.079999923706055,4311000,24.079999923706055,0.0,0.0,26.40999984741211,23.56719970703125,24.958491592407228,26.388301143646242,2.175906442214309,-3.519810744365754,-5.418346347708264,-6.997076733648822
afl,2023-03-31,64.51000213623047,64.66999816894531,64.0,64.5199966430664,2709800,64.5199966430664,0.0,0.0,69.55000305175781,64.69800018310546,67.46571319580079,68.9980307006836,-0.27512989510538116,-4.366242366971272,-2.220813390356126,-5.586859717148365
aig,2023-03-31,50.220001220703125,50.4900016784668,49.959999084472656,50.36000061035156,5071600,50.36000061035156,0.0,0.0,62.150001525878906,52.67724166870117,56.889807891845706,59.198635025024416,-4.398941525684375,-11.47799144252356,-3.90013575854025,-15.009308210996988
aiz,2023-03-31,119.4800033569336,120.58999633789062,118.83999633789062,120.06999969482422,476200,120.06999969482422,0.0,0.0,133.30999755859375,117.79799987792968,124.29444686889649,124.88564208984376,1.9287252918122006,-3.3987416819418628,-0.4733892632124672,-5.698926541866175
ajg,2023-03-31,190.4199981689453,191.3699951171875,189.4600067138672,191.30999755859375,935600,191.30999755859375,0.0,0.0,192.1999969482422,185.4063885498047,188.8425778198242,190.15364303588868,3.184145408885524,1.3066013857974947,-0.6894767805300576,-0.21553178573636714
